id,transactionId,barcode,deleted,finalPrice,itemPrice,priceAfterCoupon,discountedItemPrice,originalFinalPrice,quantityPurchased,originalMetaBriteItemPrice,partnerItemId,metabriteCampaignId,userFlaggedBarcode,userFlaggedNewItem,userFlaggedPrice,userFlaggedQuantity,needsFetchReview,needsFetchReviewReason,originalMetaBriteBarcode,originalMetaBriteQuantityPurchased
59,21,4011,1,1,1,,,,1.0,,1,,,1,,,1,,,
60,22,4011,1,21.00,21.00,,,,2.0,,1,,4011,1,21.00,2.0,0,,,
61,23,041000168468,1,1,1,,,,1.0,,1,,,1,,,1,,,
62,23,2700719497082,1,1,1,,,,1.0,,2,,,1,,,1,,,
63,24,4011,1,1,1,,,,1.0,,1,,,1,,,1,,,
64,24,1234,1,,,,,,,,2,,1234,1,,,1,USER_FLAGGED,,
65,25,4011,1,27.00,27.00,,,,5.0,,1,,4011,1,27.00,5.0,0,,,
66,26,4011,1,1,1,,,,1.0,,1,,,1,,,1,,,
67,26,1234,1,,,,,,,,2,,1234,1,,,1,USER_FLAGGED,,
68,27,079400066619,1,1,1,,,,1.0,,1,,079400066619,1,,,0,,080878042197,
69,28,,1,1,1,,,,1.0,,1,,,1,,,1,,,
70,28,051500720011,1,2,2,,,,2.0,,2,,,1,,,1,,,
71,29,4011,1,27.00,27.00,,,,4.0,,1,,4011,1,27.00,4.0,0,,,
72,30,087684001127,1,1,1,,,,1.0,,1,,,1,,,1,,,
73,30,087684001127,1,1,1,,,,1.0,,2,,,1,,,1,,,
74,30,087684001127,1,1,1,,,,1.0,,3,,,1,,,1,,,
75,30,087684001127,1,1,1,,,,1.0,,4,,,1,,,1,,,
76,30,087684001127,1,1,1,,,,1.0,,5,,,1,,,1,,,
77,30,087684001127,1,1,1,,,,1.0,,6,,,1,,,1,,,
78,30,087684001127,1,1,1,,,,1.0,,7,,,1,,,1,,,
79,30,087684001127,1,1,1,,,,1.0,,8,,,1,,,1,,,
80,30,087684001127,1,1,1,,,,1.0,,9,,,1,,,1,,,
81,30,087684001127,1,1,1,,,,1.0,,10,,,1,,,1,,,
82,31,071040063102,1,0.99,0.99,,,,1.0,,1,,,1,,,1,,,
83,32,029000079236,1,9.99,9.99,,,,1.0,,1,,,1,,,1,,,
84,32,029000079236,1,9.99,9.99,,,,1.0,,2,,,1,,,1,,,
85,32,029000079236,1,9.99,9.99,,,,1.0,,3,,,1,,,1,,,
86,32,029000079236,1,9.99,9.99,,,,1.0,,4,,,1,,,1,,,
87,32,029000079236,1,9.99,9.99,,,,1.0,,5,,,1,,,1,,,
88,32,029000079236,1,9.99,9.99,,,,1.0,,6,,,1,,,1,,,
89,32,029000079236,1,9.99,9.99,,,,1.0,,7,,,1,,,1,,,
90,32,029000079236,1,9.99,9.99,,,,1.0,,8,,,1,,,1,,,
91,32,029000079236,1,9.99,9.99,,,,1.0,,9,,,1,,,1,,,
92,33,041129002292,1,1,1,,,,1.0,,1,,,1,,,1,,,
93,34,043000946060,1,1,1,,,,1.0,,1,,,1,,,1,,,
94,35,044700009888,1,9.99,9.99,,,,1.0,,1,,,1,,,1,,,
95,35,044700009888,1,9.99,9.99,,,,1.0,,2,,,1,,,1,,,
96,35,044700009888,1,9.99,9.99,,,,1.0,,3,,,1,,,1,,,
97,35,044700009888,1,9.99,9.99,,,,1.0,,4,,,1,,,1,,,
98,35,044700009888,1,9.99,9.99,,,,1.0,,5,,,1,,,1,,,
99,36,021000012961,1,1,1,,,,1.0,,1,,,1,,,1,,,
100,37,021000678358,1,9.99,9.99,,,,1.0,,1,,,1,,,1,,,
101,37,021000678358,1,9.99,9.99,,,,1.0,,2,,,1,,,1,,,
102,37,021000678358,1,9.99,9.99,,,,1.0,,3,,,1,,,1,,,
103,37,021000678358,1,9.99,9.99,,,,1.0,,4,,,1,,,1,,,
104,37,021000678358,1,9.99,9.99,,,,1.0,,5,,,1,,,1,,,
105,37,021000678358,1,9.99,9.99,,,,1.0,,6,,,1,,,1,,,
106,37,021000678358,1,9.99,9.99,,,,1.0,,7,,,1,,,1,,,
